npr1_db,metric1,npr2_db,metric2,amp
8.942815,1.71915364e+00,-6.919887,1.10201483e+01,0.5
8.867174,1.71915364e+00,-6.959335,1.44398069e+00,0.5
8.654133,1.71915364e+00,-6.985131,1.72901595e+00,0.5
-5.121781,1.58579218e+00,-20.821491,nan,0.1
-5.231053,1.12591100e+00,-20.828907,nan,0.1
-5.105180,1.17955768e+00,-20.881369,nan,0.1
-5.210556,1.14807129e+00,-20.922926,nan,0.1
-5.050341,8.36330652e-01,-20.901964,nan,0.1
-5.121198,9.56521153e-01,-20.854490,nan,0.1
-5.186790,9.04711723e-01,-20.873777,nan,0.1
-5.150169,9.63585377e-01,-20.895416,nan,0.1
-5.140930,1.19136298e+00,-20.755379,nan,0.1
-5.272361,7.75366902e-01,-20.916233,nan,0.1
-5.243746,2.73180437e+00,-20.921766,nan,0.1
-5.292453,9.10559535e-01,-20.834854,nan,0.1
-5.054917,1.54282677e+00,-20.930099,nan,0.1
-5.164320,8.85170639e-01,-20.867424,nan,0.1
-5.062018,9.73913431e-01,-20.904867,nan,0.1
-5.073445,1.24607968e+00,-20.893938,nan,0.1
-5.181599,8.85011971e-01,-20.850342,nan,0.1
-5.236474,1.14934933e+00,-20.854074,nan,0.1
-5.281829,1.17283654e+00,-20.849903,nan,0.1
-5.073779,1.14002621e+00,-20.817339,nan,0.1
-5.077693,2.31581783e+00,-20.923794,nan,0.1
-5.124819,7.97591209e-01,-20.921457,nan,0.1
-5.078551,8.82765710e-01,-20.882908,nan,0.1
-5.021892,2.52647495e+00,-20.878281,nan,0.1
-5.082119,1.05199528e+00,-20.865875,nan,0.1
-5.217882,7.85070062e-01,-20.829771,nan,0.1
-5.005178,8.38065684e-01,-20.873852,nan,0.1
-5.167662,8.46925318e-01,-20.787704,nan,0.1
-5.229619,1.09334970e+00,-20.871202,nan,0.1
-5.067933,1.00110257e+00,-20.884287,nan,0.1
-5.305923,1.27278829e+00,-20.992186,nan,0.1
-5.212414,1.11217499e+00,-20.858498,nan,0.1
