epoch,mean_loss,lr,attn_type
31,552.0970460891724,0.001,CosignAttention
32,570.6610748291016,0.001,CosignAttention
33,610.7059343338012,0.001,CosignAttention
34,617.4759662628173,0.001,CosignAttention
35,579.6490851402283,0.001,CosignAttention
36,535.1149613380433,0.0005,CosignAttention
37,424.9151568889618,0.0005,CosignAttention
38,376.43938808441163,0.0005,CosignAttention
39,342.1586842536926,0.0005,CosignAttention
40,334.3325900793076,0.0005,CosignAttention
41,330.6852182149887,0.0005,CosignAttention
42,361.7109049081802,0.0005,CosignAttention
43,356.8544682264328,0.0005,CosignAttention
44,394.616717338562,0.0005,CosignAttention
45,304.66425663232803,0.0005,CosignAttention
46,315.59171624183654,0.0005,CosignAttention
47,291.9272530198097,0.0005,CosignAttention
48,308.71870827674866,0.0005,CosignAttention
49,274.51201770305636,0.0005,CosignAttention
50,281.65733317136767,0.0005,CosignAttention
51,259.85733182430266,0.0005,CosignAttention
52,292.647952401638,0.0005,CosignAttention
53,274.64414451122286,0.0005,CosignAttention
54,294.61444158554076,0.0005,CosignAttention
55,242.80083758831023,0.0005,CosignAttention
56,237.3823194026947,0.0005,CosignAttention
57,219.23217720985411,0.0005,CosignAttention
58,235.05932480096817,0.0005,CosignAttention
59,220.41310473680497,0.0005,CosignAttention
60,253.43652213811873,0.0005,CosignAttention
61,210.60846968889237,0.0005,CosignAttention
62,233.5062597990036,0.0005,CosignAttention
63,195.07966631650925,0.0005,CosignAttention
64,191.38840634822844,0.0005,CosignAttention
65,161.08384578227998,0.0005,CosignAttention
66,162.40817021131517,0.0005,CosignAttention
67,149.58903785943986,0.0005,CosignAttention
68,149.12995086908342,0.0005,CosignAttention
69,139.52753598690032,0.0005,CosignAttention
70,142.4288666009903,0.0005,CosignAttention
71,138.3824599444866,0.0005,CosignAttention
72,126.28870743513107,0.0005,CosignAttention
73,113.23190284371375,0.0005,CosignAttention
74,108.43659180998802,0.0005,CosignAttention
0,2040.835302734375,0.001,LinearAttention
1,2040.7360107421875,0.001,LinearAttention
2,2013.0300659179688,0.001,LinearAttention
3,1964.766259765625,0.001,LinearAttention
4,1931.8815307617188,0.001,LinearAttention
5,1920.1256103515625,0.001,LinearAttention
6,1880.022802734375,0.001,LinearAttention
7,1839.0206176757813,0.001,LinearAttention
8,1826.5595825195312,0.001,LinearAttention
9,1864.0904174804687,0.001,LinearAttention
10,1869.9756591796875,0.001,LinearAttention
11,1813.2909912109376,0.001,LinearAttention
12,1749.7807495117188,0.001,LinearAttention
13,1744.5916015625,0.001,LinearAttention
14,1734.2255004882813,0.001,LinearAttention
15,1655.3797729492187,0.001,LinearAttention
16,1604.7299255371095,0.001,LinearAttention
17,1577.1941467285155,0.001,LinearAttention
18,1529.6246032714844,0.001,LinearAttention
19,1502.3927612304688,0.001,LinearAttention
20,1378.1401733398438,0.001,LinearAttention
21,1341.6460205078124,0.001,LinearAttention
22,1303.842578125,0.001,LinearAttention
23,1300.462466430664,0.001,LinearAttention
24,1318.7996063232422,0.001,LinearAttention
25,1280.2941116333009,0.001,LinearAttention
26,1274.8356018066406,0.001,LinearAttention
27,1306.010272216797,0.001,LinearAttention
28,1245.6406158447267,0.001,LinearAttention
29,1182.3255752563477,0.001,LinearAttention
30,1213.6895278930665,0.001,LinearAttention
31,1196.549742126465,0.001,LinearAttention
32,1230.6693603515625,0.001,LinearAttention
33,1165.4981399536132,0.001,LinearAttention
34,1122.2471588134765,0.001,LinearAttention
35,1092.792935180664,0.001,LinearAttention
36,1395.0915939331055,0.001,LinearAttention
37,1272.901626586914,0.001,LinearAttention
38,1263.5765594482423,0.001,LinearAttention
39,1162.1831916809083,0.001,LinearAttention
40,1163.1477493286134,0.0005,LinearAttention
41,1088.5472190856933,0.0005,LinearAttention
42,1055.933871459961,0.0005,LinearAttention
43,1039.7542121887207,0.0005,LinearAttention
44,1026.2041328430175,0.0005,LinearAttention
45,1016.8488845825195,0.0005,LinearAttention
46,1013.5966712951661,0.0005,LinearAttention
47,1008.9597984313965,0.0005,LinearAttention
48,1005.5041519165039,0.0005,LinearAttention
49,997.1630798339844,0.0005,LinearAttention
50,989.0751739501953,0.0005,LinearAttention
51,984.9556304931641,0.0005,LinearAttention
52,979.6337921142579,0.0005,LinearAttention
53,976.2814849853515,0.0005,LinearAttention
54,975.6356224060058,0.0005,LinearAttention
55,979.5116104125976,0.0005,LinearAttention
56,985.5162460327149,0.0005,LinearAttention
57,990.632716369629,0.0005,LinearAttention
58,994.2352474212646,0.0005,LinearAttention
59,982.6494380950928,0.00025,LinearAttention
60,979.1569839477539,0.00025,LinearAttention
61,977.2116615295411,0.00025,LinearAttention
62,975.3024505615234,0.00025,LinearAttention
63,975.1104843139649,0.00025,LinearAttention
64,973.3544048309326,0.00025,LinearAttention
65,983.2685279846191,0.00025,LinearAttention
66,983.6013381958007,0.00025,LinearAttention
67,981.2106681823731,0.00025,LinearAttention
68,978.2072120666504,0.00025,LinearAttention
69,976.9809425354003,0.000125,LinearAttention
70,976.0046493530274,0.000125,LinearAttention
71,974.7013328552246,0.000125,LinearAttention
72,973.6680969238281,0.000125,LinearAttention
73,973.6133449554443,6.25e-05,LinearAttention
74,973.0464962005615,6.25e-05,LinearAttention

