ebn0_db,ber
-20.0,0.4443359375
-19.0,0.43701171875
-18.0,0.42333984375
-17.0,0.42236328125
-16.0,0.40625
-15.0,0.4150390625
-14.0,0.408203125
-13.0,0.3701171875
-12.0,0.37109375
-11.0,0.365234375
-10.0,0.328125
-9.0,0.3125
-8.0,0.2763671875
-7.0,0.2734375
-6.0,0.2275390625
-5.0,0.23046875
-4.0,0.18017578125
-3.0,0.1484375
-2.0,0.1181640625
-1.0,0.09765625
0.0,0.08251953125
1.0,0.05322265625
2.0,0.0439453125
3.0,0.02294921875
4.0,0.0126953125
5.0,0.0087890625
6.0,0.001953125
7.0,0.0009765625
8.0,0.0
