snr_db,ber
-4.000000,1.0143999755e-01
-4.000000,1.0093999654e-01
-4.000000,1.0147999972e-01
-4.000000,1.0187999904e-01
-4.000000,1.0110999644e-01
-4.000000,1.0221999884e-01
-4.000000,9.9789999425e-02
-3.000000,7.6619997621e-02
-3.000000,7.5599998236e-02
-3.000000,7.8050002456e-02
-3.000000,7.7339999378e-02
-3.000000,7.6499998569e-02
-3.000000,7.6499998569e-02
-3.000000,7.6619997621e-02
-3.000000,7.6020002365e-02
-3.000000,7.6690003276e-02
-3.000000,7.4799999595e-02
-3.000000,7.5220003724e-02
-3.000000,7.7119998634e-02
-3.000000,7.4950002134e-02
-3.000000,7.6509997249e-02
-3.000000,7.7220000327e-02
-2.000000,5.6069999933e-02
-2.000000,5.9160001576e-02
-2.000000,5.7849999517e-02
-2.000000,5.7780001312e-02
-2.000000,5.5759999901e-02
-2.000000,5.7000000030e-02
-2.000000,5.5759999901e-02
-2.000000,5.7489998639e-02
-2.000000,5.5569998920e-02
-2.000000,5.6559998542e-02
-2.000000,5.7029999793e-02
-2.000000,5.6910000741e-02
-2.000000,5.5860001594e-02
-2.000000,5.5789999664e-02
-2.000000,5.5769998580e-02
-2.000000,5.7560000569e-02
-1.000000,3.8539998233e-02
-1.000000,3.7879999727e-02
-1.000000,3.8570001721e-02
-1.000000,3.6410000175e-02
-1.000000,3.6749999970e-02
-1.000000,3.7269998342e-02
-1.000000,3.7680000067e-02
-1.000000,3.6570001394e-02
-1.000000,3.7069998682e-02
-1.000000,3.6520000547e-02
0.000000,2.2709999233e-02
0.000000,2.2549999878e-02
0.000000,2.3010000587e-02
0.000000,2.1250000224e-02
0.000000,2.2329999134e-02
0.000000,2.1819999442e-02
0.000000,2.1889999509e-02
0.000000,2.3210000247e-02
0.000000,2.2040000185e-02
0.000000,2.2269999608e-02
0.000000,2.2390000522e-02
0.000000,2.2740000859e-02
0.000000,2.3429999128e-02
0.000000,2.3099999875e-02
0.000000,2.2110000253e-02
0.000000,2.2719999775e-02
1.000000,1.3509999961e-02
1.000000,1.3500000350e-02
1.000000,1.3039999641e-02
1.000000,1.3340000063e-02
1.000000,1.2930000201e-02
1.000000,1.3949999586e-02
1.000000,1.3310000300e-02
1.000000,1.3170000166e-02
1.000000,1.2719999999e-02
2.000000,5.2299997769e-03
2.000000,5.6400001049e-03
2.000000,5.5100000463e-03
2.000000,5.4999999702e-03
2.000000,5.8200000785e-03
2.000000,5.4100002162e-03
2.000000,5.7100001723e-03
2.000000,5.7299998589e-03
2.000000,5.6500001810e-03
2.000000,5.8300001547e-03
2.000000,5.4799998179e-03
3.000000,2.7399999090e-03
3.000000,2.7099999133e-03
3.000000,2.9899999499e-03
3.000000,2.7300000656e-03
3.000000,2.7300000656e-03
3.000000,2.8699999675e-03
3.000000,2.5899999309e-03
3.000000,2.7499999851e-03
3.000000,2.8999999631e-03
3.000000,2.7300000656e-03
4.000000,9.6999999369e-04
4.000000,1.0400000028e-03
4.000000,8.9000002481e-04
4.000000,1.0100000072e-03
4.000000,8.9000002481e-04
4.000000,9.3999999808e-04
4.000000,9.8999997135e-04
4.000000,9.5000001602e-04
4.000000,8.2999997539e-04
4.000000,1.0000000475e-03
4.000000,9.1000000248e-04
4.000000,9.8999997135e-04
5.000000,1.4000000374e-04
5.000000,1.1000000086e-04
5.000000,1.9000000611e-04
5.000000,1.1000000086e-04
5.000000,1.3000000035e-04
5.000000,2.0999999833e-04
5.000000,1.9999999495e-04
5.000000,1.4000000374e-04
5.000000,1.5000000712e-04
5.000000,1.1999999697e-04
5.000000,1.5999999596e-04
5.000000,2.2000000172e-04
6.000000,1.1000000086e-04
6.000000,1.1000000086e-04
6.000000,9.9999997474e-05
6.000000,7.9999997979e-05
6.000000,7.9999997979e-05
6.000000,7.9999997979e-05
6.000000,1.1000000086e-04
6.000000,1.1000000086e-04
6.000000,7.9999997979e-05
6.000000,7.0000001870e-05
6.000000,7.9999997979e-05
6.000000,1.1000000086e-04
6.000000,7.0000001870e-05
6.000000,9.0000001364e-05
6.000000,1.3000000035e-04
6.000000,9.9999997474e-05
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
7.000000,0.0000000000e+00
