ebn0_db,ber
-20.0,0.4583333333333333
-19.0,0.4534505208333333
-18.0,0.4669596354166667
-17.0,0.4383138020833333
-16.0,0.4228515625
-15.0,0.41650390625
-14.0,0.41015625
-13.0,0.3844401041666667
-12.0,0.3802083333333333
-11.0,0.3557942708333333
-10.0,0.36083984375
-9.0,0.3427734375
-8.0,0.3173828125
-7.0,0.2950846354166667
-6.0,0.265625
-5.0,0.24918619791666666
-4.0,0.21761067708333334
-3.0,0.20263671875
-2.0,0.169921875
-1.0,0.1494140625
0.0,0.12337239583333333
1.0,0.10172526041666667
2.0,0.07503255208333333
3.0,0.06608072916666667
4.0,0.049479166666666664
5.0,0.032063802083333336
6.0,0.022135416666666668
7.0,0.011067708333333334
8.0,0.006022135416666667
9.0,0.0029296875
10.0,0.0013020833333333333
11.0,0.00016276041666666666
12.0,0.0
