ebn0_db,ber
-20.0,0.44287109375
-19.0,0.43798828125
-18.0,0.425537109375
-17.0,0.43359375
-16.0,0.404541015625
-15.0,0.391845703125
-14.0,0.390380859375
-13.0,0.370361328125
-12.0,0.359130859375
-11.0,0.353271484375
-10.0,0.31787109375
-9.0,0.305419921875
-8.0,0.287353515625
-7.0,0.2734375
-6.0,0.237060546875
-5.0,0.21630859375
-4.0,0.188232421875
-3.0,0.1533203125
-2.0,0.12158203125
-1.0,0.1005859375
0.0,0.0751953125
1.0,0.056396484375
2.0,0.0400390625
3.0,0.02197265625
4.0,0.01025390625
5.0,0.007568359375
6.0,0.00146484375
7.0,0.0009765625
8.0,0.000244140625
9.0,0.0
